# slice R oracle (equil) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
P/shaped/1100/Pt_lp	4680576874659812497	84989.89990385088
P/shaped/1100/Tt2	4643745586963694955	286.3754828060834
P/shaped/1100/Tt25	4645230698881781674	370.7943216210648
P/shaped/1100/Tt3	4648377002629294504	587.2819668085331
P/shaped/1100/Tt4	4652552666608566272	1100.0
P/shaped/1100/Tt45	4651220836875730860	910.5884892903173
P/shaped/1100/Tt5	4650568294335155807	836.4029913735102
P/shaped/1100/branch_choked	1	1
P/shaped/1100/eta_hpc	4606078781330191853	0.8774716270160617
P/shaped/1100/eta_hpt	4606461842859638129	0.92
P/shaped/1100/eta_lpc	4606204719805174513	0.8914536064772546
P/shaped/1100/eta_lpt	4606281698874543309	0.9
P/shaped/1100/f	4579359393500899118	0.014234744840922877
P/shaped/1100/m_hp	4605680505021269117	0.8332540741831874
P/shaped/1100/m_imp	4604086877409719264	0.6563258674810832
P/shaped/1100/m_lp	4604086877409719271	0.656325867481084
P/shaped/1100/mdot4	4604171028351006441	0.6656684987371736
P/shaped/1100/mdot_air	4604086877409719263	0.6563258674810831
P/shaped/1100/n_hp	4606055739955120139	0.8749135205036976
P/shaped/1100/n_lp	4605396949652228154	0.8017731042366514
P/shaped/1100/nu_hp	4605732034923525211	0.8389750425773274
P/shaped/1100/nu_hpt	4606999678735061786	0.9797117772364772
P/shaped/1100/nu_lp	4605396949652228154	0.8017731042366514
P/shaped/1100/nu_lpt	4606666388682822376	0.9427091482490058
P/shaped/1100/phi_hp	4606753536487586123	0.9523844981884307
P/shaped/1100/phi_lp	4605548449993148823	0.8185930209095201
P/shaped/1100/pi_hpc	4616628060011187046	4.389414683991026
P/shaped/1100/pi_hpt	4601417637463417665	0.42999035140887903
P/shaped/1100/pi_lpc	4612284848418523997	2.2659339375981475
P/shaped/1100/pi_lpt	4604354216031604621	0.6860064168199514
P/shaped/1100/pt4	4694633094321520584	743414.5348186428
P/shaped/1100/slip	4606783020421887259	0.9556578724601964
P/shaped/1100/sp_thrust	4647276446839261184	487.08162965171505
P/shaped/1100/tau_hpc	4609811837918234051	1.5838483292867387
P/shaped/1100/tau_hpt	4605631448601741390	0.827807717536652
P/shaped/1100/tau_lpc	4608510006788014416	1.2947837502980128
P/shaped/1100/tau_lpt	4606448603723934434	0.9185301606715621
P/shaped/1100/exit_noise	1	1
P/shaped/1100/passes	80	80
P/shaped/1100/powers_calls	240	240
census/P/shaped/close_bracket_fails	0	0
census/P/shaped/close_calls	983	983
census/P/shaped/close_nonreal_propagated	0	0
census/P/shaped/eig_complex	0	0
census/P/shaped/eig_real	0	0
census/P/shaped/hi_wall_literal	0	0
census/P/shaped/hi_wall_map	983	983
census/P/shaped/illinois_calls	983	983
census/P/shaped/illinois_evals	8103	8103
census/P/shaped/illinois_exhausted	0	0
census/P/shaped/instant_calls	6	6
census/P/shaped/integrate_calls	0	0
census/P/shaped/match_calls	0	0
census/P/shaped/powers_calls	977	977
P/flat/1500/M9	4607182418800017414	1.0000000000000013
P/flat/1500/Pc_hp	4688998029257566899	305847.31094137876
P/flat/1500/Pc_lp	4682837332674583768	117883.89331208484
P/flat/1500/Phi_hp	13617839465531249700	-6.280430598287422e-15
P/flat/1500/Phi_lp	13619232625186757442	-7.653452212896302e-15
P/flat/1500/Pt_hp	4688998029257566866	305847.31094137684
P/flat/1500/Pt_lp	4682837332674583706	117883.89331208394
P/flat/1500/Tt2	4643745586963694955	286.3754828060834
P/flat/1500/Tt25	4645801516094770305	403.2415235519366
P/flat/1500/Tt3	4649341121304680093	696.8895702014739
P/flat/1500/Tt4	4654311885213007872	1500.0
P/flat/1500/Tt45	4653251304555918984	1258.8518778937014
P/flat/1500/Tt5	4652834285207011429	1164.032655801647
P/flat/1500/branch_choked	1	1
P/flat/1500/eta_hpc	4606101554889448489	0.88
P/flat/1500/eta_hpt	4606461842859638129	0.92
P/flat/1500/eta_lpc	4606281698874543309	0.9
