# slice R oracle (cpython) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
G/r44/59/Phi_lp	4589442967340641870	0.06631565681976179
G/r44/59/Phi_hp	4589946845288737749	0.07330836806447334
G/r44/59/sp_thrust	4648986578336331262	656.5827012934603
G/r44/60/s	4608083138725491510	1.2000000000000006
G/r44/60/nu_lp	4606497611454486215	0.9239711117558834
G/r44/60/nu_hp	4606229101999771049	0.8941605738604511
G/r44/60/Tt4	4653872080561897472	1400.0
G/r44/60/slip	4607332564904959109	1.0333391325528123
G/r44/60/pi_lpc	4613051076551682191	2.6062075838172585
G/r44/60/pi_hpc	4617403341519308270	5.0780029886968645
G/r44/60/phi_lp	4605605425494432465	0.8249185722459861
G/r44/60/phi_hp	4606637526985177947	0.9395048561235443
G/r44/60/mdot_air	4605040515196693307	0.7622009303061995
G/r44/60/f	4583360599963004087	0.026726463245932943
G/r44/60/Phi_lp	4589312567960265576	0.0645060018886291
G/r44/60/Phi_hp	4589843740007658945	0.07187749485179663
G/r44/60/sp_thrust	4648992191609777701	657.2208566008527
G/r44/61/s	4608173210718038920	1.2200000000000006
G/r44/61/nu_lp	4606509071602840350	0.9252434438127215
G/r44/61/nu_hp	4606241922864574968	0.8955839757905428
G/r44/61/Tt4	4653872080561897472	1400.0
G/r44/61/slip	4607331566588213131	1.0331174617053616
G/r44/61/pi_lpc	4613064641279650955	2.612231533142738
G/r44/61/pi_hpc	4617414688748941917	5.0880813531808515
G/r44/61/phi_lp	4605627270743612860	0.8273438821078609
G/r44/61/phi_hp	4606647064301754190	0.9405637109691527
G/r44/61/mdot_air	4605070181059493945	0.7654945026988634
G/r44/61/f	4583354573770358146	0.026705555690225598
G/r44/61/Phi_lp	4589184836071783107	0.06273336584397797
G/r44/61/Phi_hp	4589742026074829754	0.07046593047489483
G/r44/61/sp_thrust	4648997649363990108	657.8413314183231
G/r44/62/s	4608263282710586330	1.2400000000000007
G/r44/62/nu_lp	4606520215747208472	0.9264806923794451
G/r44/62/nu_hp	4606254491195769522	0.8969793408578737
G/r44/62/Tt4	4653872080561897472	1400.0
G/r44/62/slip	4607330540690530968	1.0328896666598322
G/r44/62/pi_lpc	4613077871379377080	2.6181068776763503
G/r44/62/pi_hpc	4617425838841254968	5.097984624550968
G/r44/62/phi_lp	4605648724050674369	0.829725677653265
G/r44/62/phi_hp	4606656407394602086	0.9416010026492472
G/r44/62/mdot_air	4605099277173938418	0.7687248203172017
G/r44/62/f	4583348680519962682	0.026685109370603956
G/r44/62/Phi_lp	4588951505953366352	0.06099762998570901
G/r44/62/Phi_hp	4589641714874828926	0.0690738329265361
G/r44/62/sp_thrust	4649002955816968290	658.444605276931
G/r44/63/s	4608353354703133740	1.2600000000000007
G/r44/63/nu_lp	4606531050521492130	0.9276835939670784
G/r44/63/nu_hp	4606266810512648534	0.8983470597825469
G/r44/63/Tt4	4653872080561897472	1400.0
G/r44/63/slip	4607329488913937276	1.0326561253416164
G/r44/63/pi_lpc	4613090771556276172	2.623835707042394
G/r44/63/pi_hpc	4617436794340740792	5.107715062771312
G/r44/63/phi_lp	4605669788531013954	0.8320643047607421
G/r44/63/phi_hp	4606665559425457966	0.942617082187075
G/r44/63/mdot_air	4605127808237199620	0.771892404652164
G/r44/63/f	4583342918142537910	0.026665117107811574
G/r44/63/Phi_lp	4588706655563795024	0.059298639110143214
G/r44/63/Phi_hp	4589542816099304117	0.06770133670535013
G/r44/63/sp_thrust	4649008115082472804	659.0311458571055
G/r44/64/s	4608443426695681150	1.2800000000000007
G/r44/64/nu_lp	4606541582528482027	0.9288528816326481
G/r44/64/nu_hp	4606278884356674329	0.899687525745864
G/r44/64/Tt4	4653872080561897472	1400.0
G/r44/64/slip	4607328412917024818	1.0324172060322891
G/r44/64/pi_lpc	4613103346643282978	2.6294201674950424
G/r44/64/pi_hpc	4617447557789282617	5.117274925487714
